STATIONS_ID;MESS_DATUM;QN_592;ATMO_LBERG;FD_LBERG;FG_LBERG;SD_LBERG;ZENIT;MESS_DATUM_WOZ;eor
       4466;2019120821:13;    1;  116.0;    0.0;    0.0;   0;   137.69;2019120822:00;eor
       4466;2019120822:13;    1;  106.0;    0.0;    0.0;   0;   144.04;2019120823:00;eor
       4466;2019120823:13;    1;  112.0;    0.0;    0.0;   0;   147.73;2019120900:00;eor
       4466;2019120900:13;    1;  116.0;    0.0;    0.0;   0;   147.74;2019120901:00;eor
       4466;2019120901:13;    1;  113.0;    0.0;    0.0;   0;   144.05;2019120902:00;eor
       4466;2019120902:13;    1;  116.0;    0.0;    0.0;   0;   137.71;2019120903:00;eor
       4466;2019120903:13;    1;  119.0;    0.0;    0.0;   0;   129.87;2019120904:00;eor
       4466;2019120904:13;    1;  115.0;    0.0;    0.0;   0;   121.34;2019120905:00;eor
       4466;2019120905:13;    1;  115.0;    0.0;    0.0;   0;   112.66;2019120906:00;eor
       4466;2019120906:13;    1;  112.0;    0.0;    0.0;   0;   104.22;2019120907:00;eor
       4466;2019120907:13;    1;  116.0;    0.0;    0.0;   0;    96.36;2019120908:00;eor
       4466;2019120908:13;    1;  114.0;    5.0;    5.0;   0;    89.42;2019120909:00;eor
       4466;2019120909:13;    1;  118.0;   16.0;   16.0;   1;    83.75;2019120910:00;eor
       4466;2019120910:13;    1;  120.0;   34.0;   34.0;   2;    79.71;2019120911:00;eor
       4466;2019120911:14;    1;  121.0;   34.0;   36.0;   7;    77.60;2019120912:00;eor
       4466;2019120912:14;    1;  120.0;   28.0;   28.0;   0;    77.61;2019120913:00;eor
       4466;2019120913:14;    1;  122.0;   17.0;   17.0;   0;    79.72;2019120914:00;eor
       4466;2019120914:14;    1;  119.0;    7.0;    7.0;   0;    83.77;2019120915:00;eor
       4466;2019120915:14;    1;  109.0;    4.0;    4.0;   0;    89.44;2019120916:00;eor
       4466;2019120916:14;    1;   -999;    0.0;    0.0;   0;    96.39;2019120917:00;eor
       4466;2019120917:14;    1;   93.0;    0.0;    0.0;   0;   104.25;2019120918:00;eor
       4466;2019120918:14;    1;   96.0;    0.0;    0.0;   0;   112.70;2019120919:00;eor
       4466;2019120919:14;    1;   92.0;    0.0;    0.0;   0;   121.38;2019120920:00;eor
       4466;2019120920:14;    1;   98.0;    0.0;    0.0;   0;   129.92;2019120921:00;eor
       4466;2019120921:14;    1;   96.0;    0.0;    0.0;   0;   137.77;2019120922:00;eor
       4466;2019120922:14;    1;   88.0;    0.0;    0.0;   0;   144.13;2019120923:00;eor
       4466;2019120923:14;    1;   87.0;    0.0;    0.0;   0;   147.83;2019121000:00;eor
       4466;2019121000:14;    1;   87.0;    0.0;    0.0;   0;   147.84;2019121001:00;eor
       4466;2019121001:14;    1;   88.0;    0.0;    0.0;   0;   144.14;2019121002:00;eor
       4466;2019121002:14;    1;   88.0;    0.0;    0.0;   0;   137.79;2019121003:00;eor
       4466;2019121003:14;    1;   93.0;    0.0;    0.0;   0;   129.94;2019121004:00;eor
       4466;2019121004:14;    1;  107.0;    0.0;    0.0;   0;   121.41;2019121005:00;eor
       4466;2019121005:14;    1;  108.0;    0.0;    0.0;   0;   112.73;2019121006:00;eor
       4466;2019121006:14;    1;   90.0;    0.0;    0.0;   0;   104.29;2019121007:00;eor
       4466;2019121007:14;    1;  109.0;    0.0;    0.0;   0;    96.44;2019121008:00;eor
       4466;2019121008:14;    1;   92.0;    5.0;    5.0;   5;    89.50;2019121009:00;eor
       4466;2019121009:14;    1;  101.0;   16.0;   18.0;  21;    83.84;2019121010:00;eor
       4466;2019121010:14;    1;  109.0;   27.0;   29.0;   8;    79.80;2019121011:00;eor
       4466;2019121011:14;    1;  113.0;   25.0;   25.0;   0;    77.70;2019121012:00;eor
       4466;2019121012:14;    1;  113.0;   26.0;   26.0;   0;    77.70;2019121013:00;eor
       4466;2019121013:14;    1;  101.0;   36.0;   42.0;  23;    79.81;2019121014:00;eor
       4466;2019121014:14;    1;   95.0;   23.0;   30.0;  41;    83.86;2019121015:00;eor
       4466;2019121015:14;    1;   91.0;    4.0;    4.0;   0;    89.53;2019121016:00;eor
       4466;2019121016:14;    1;   93.0;    0.0;    0.0;   0;    96.47;2019121017:00;eor
       4466;2019121017:14;    1;   96.0;    0.0;    0.0;   0;   104.33;2019121018:00;eor
       4466;2019121018:14;    1;   95.0;    0.0;    0.0;   0;   112.77;2019121019:00;eor
       4466;2019121019:14;    1;   98.0;    0.0;    0.0;   0;   121.46;2019121020:00;eor
